"Unique ID","Indicator ID","Name","Measure","Measure Info","Geo Type Name","Geo Join ID","Geo Place Name","Time Period","Start_Date","Data Value","Message"
"877230","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","405","Ridgewood and Maspeth (CD5)","Summer 2023","06/01/2023","13.39077372",
"874326","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","205","Sunset Park","Summer 2023","06/01/2023","9.149134113",
"874837","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","406","Rego Park and Forest Hills (CD6)","Summer 2023","06/01/2023","8.719093414",
"878174","386","Ozone (O3)","Mean","ppb","UHF34","501502","Northern SI","Summer 2023","06/01/2023","33.09477592",
"878117","386","Ozone (O3)","Mean","ppb","CD","305","East New York and Starrett City (CD5)","Summer 2023","06/01/2023","36.56098667",
"878225","386","Ozone (O3)","Mean","ppb","UHF42","305","Upper East Side","Summer 2023","06/01/2023","31.2445346",
"877251","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","412","Jamaica and Hollis (CD12)","Summer 2023","06/01/2023","11.3212232",
"878227","386","Ozone (O3)","Mean","ppb","UHF42","303","East Harlem","Summer 2023","06/01/2023","32.00898429",
"878209","386","Ozone (O3)","Mean","ppb","UHF42","501","Port Richmond","Summer 2023","06/01/2023","32.56097611",
"878203","386","Ozone (O3)","Mean","ppb","UHF34","103","Fordham - Bronx Pk","Summer 2023","06/01/2023","32.31051756",
"876882","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","201","Greenpoint","Summer 2023","06/01/2023","14.95173654",
"874440","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","408","Jamaica","Summer 2023","06/01/2023","8.721661525",
"878240","386","Ozone (O3)","Mean","ppb","UHF42","201","Greenpoint","Summer 2023","06/01/2023","33.7542222",
"874389","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","207","East Flatbush - Flatbush","Summer 2023","06/01/2023","8.611497961",
"878247","386","Ozone (O3)","Mean","ppb","UHF42","101","Kingsbridge - Riverdale","Summer 2023","06/01/2023","29.39652856",
"874885","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","212","Williamsbridge and Baychester (CD12)","Summer 2023","06/01/2023","9.254048723",
"874807","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","314","Flatbush and Midwood (CD14)","Summer 2023","06/01/2023","8.546253356",
"874452","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","404","Bayside - Little Neck","Summer 2023","06/01/2023","8.719524695",
"874359","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","101","Kingsbridge - Riverdale","Summer 2023","06/01/2023","9.265788318",
"877107","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","106","Stuyvesant Town and Turtle Bay (CD6)","Summer 2023","06/01/2023","18.70500762",
"878230","386","Ozone (O3)","Mean","ppb","UHF42","211","Williamsburg - Bushwick","Summer 2023","06/01/2023","35.49941831",
"877086","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","105106107","South Bronx","Summer 2023","06/01/2023","14.34539039",
"877194","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","311","Bensonhurst (CD11)","Summer 2023","06/01/2023","10.75587857",
"877098","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","103","Lower East Side and Chinatown (CD3)","Summer 2023","06/01/2023","16.2487256",
"878254","386","Ozone (O3)","Mean","ppb","CD","503","Tottenville and Great Kills (CD3)","Summer 2023","06/01/2023","36.45438978",
"877164","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","301","Greenpoint and Williamsburg (CD1)","Summer 2023","06/01/2023","14.72135233",
"878118","386","Ozone (O3)","Mean","ppb","CD","306","Park Slope and Carroll Gardens (CD6)","Summer 2023","06/01/2023","34.15035402",
"874398","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","204","East New York","Summer 2023","06/01/2023","8.878918851",
"878211","386","Ozone (O3)","Mean","ppb","UHF42","409","Southeast Queens","Summer 2023","06/01/2023","38.18201497",
"874909","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","308","Crown Heights and Prospect Heights (CD8)","Summer 2023","06/01/2023","8.936772164",
"878124","386","Ozone (O3)","Mean","ppb","CD","312","Borough Park (CD12)","Summer 2023","06/01/2023","37.22655011",
"874308","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","211","Williamsburg - Bushwick","Summer 2023","06/01/2023","9.266873894",
"874517","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","105","Midtown (CD5)","Summer 2023","06/01/2023","9.767412952",
"874888","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","301","Greenpoint and Williamsburg (CD1)","Summer 2023","06/01/2023","9.515876207",
"874464","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","310","Lower Manhattan","Summer 2023","06/01/2023","9.185954859",
"877017","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","207","East Flatbush - Flatbush","Summer 2023","06/01/2023","12.02033251",
"878149","386","Ozone (O3)","Mean","ppb","CD","210","Throgs Neck and Co-op City (CD10)","Summer 2023","06/01/2023","35.69245438",
"877191","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","310","Bay Ridge and Dyker Heights (CD10)","Summer 2023","06/01/2023","13.79474138",
"877239","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","408","Hillcrest and Fresh Meadows (CD8)","Summer 2023","06/01/2023","10.57451486",
"876942","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","310","Lower Manhattan","Summer 2023","06/01/2023","19.23269501",
"874559","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","409","Southeast Queens","Summer 2023","06/01/2023","8.565150117",
"874831","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","404","Elmhurst and Corona (CD4)","Summer 2023","06/01/2023","9.011768181",
"877011","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","205","Sunset Park","Summer 2023","06/01/2023","14.78243138",
"874605","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","206","Belmont and East Tremont (CD6)","Summer 2023","06/01/2023","9.337857894",
"876936","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","308","Greenwich Village - SoHo","Summer 2023","06/01/2023","20.33316087",
"876939","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","309","Union Square - Lower East Side","Summer 2023","06/01/2023","16.5909254",
"876870","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","104","Pelham - Throgs Neck","Summer 2023","06/01/2023","12.06848595",
"878132","386","Ozone (O3)","Mean","ppb","CD","402","Woodside and Sunnyside (CD2)","Summer 2023","06/01/2023","33.53542984",
"878192","386","Ozone (O3)","Mean","ppb","UHF34","210","Coney Island - Sheepshead Bay","Summer 2023","06/01/2023","40.41763987",
"874834","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","405","Ridgewood and Maspeth (CD5)","Summer 2023","06/01/2023","9.103134891",
"874458","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","402","West Queens","Summer 2023","06/01/2023","9.23668133",
"876954","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","404","Bayside - Little Neck","Summer 2023","06/01/2023","9.624486798",
"878167","386","Ozone (O3)","Mean","ppb","CD","104","Clinton and Chelsea (CD4)","Summer 2023","06/01/2023","28.47102781",
"877020","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","208","Canarsie - Flatlands","Summer 2023","06/01/2023","12.24185059",
"877092","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","101","Financial District (CD1)","Summer 2023","06/01/2023","19.69490477",
"878165","386","Ozone (O3)","Mean","ppb","CD","106","Stuyvesant Town and Turtle Bay (CD6)","Summer 2023","06/01/2023","29.94972265",
"878119","386","Ozone (O3)","Mean","ppb","CD","307","Sunset Park (CD7)","Summer 2023","06/01/2023","34.62553705",
"877125","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","112","Washington Heights and Inwood (CD12)","Summer 2023","06/01/2023","14.43067469",
"878162","386","Ozone (O3)","Mean","ppb","CD","109","Morningside Heights and Hamilton Heights (CD9)","Summer 2023","06/01/2023","30.99076311",
"877131","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","202","Hunts Point and Longwood (CD2)","Summer 2023","06/01/2023","15.26199906",
"877161","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","212","Williamsbridge and Baychester (CD12)","Summer 2023","06/01/2023","11.87627055",
"876924","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","304","Upper West Side","Summer 2023","06/01/2023","15.61856373",
"878145","386","Ozone (O3)","Mean","ppb","CD","501","St. George and Stapleton (CD1)","Summer 2023","06/01/2023","32.37391856",
"874470","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","308","Greenwich Village - SoHo","Summer 2023","06/01/2023","9.568039799",
"874473","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","307","Gramercy Park - Murray Hill","Summer 2023","06/01/2023","9.463103294",
"878181","386","Ozone (O3)","Mean","ppb","UHF34","408","Jamaica","Summer 2023","06/01/2023","37.4206363",
"878172","386","Ozone (O3)","Mean","ppb","UHF34","105106107","South Bronx","Summer 2023","06/01/2023","32.66163839",
"877182","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","307","Sunset Park (CD7)","Summer 2023","06/01/2023","14.41101052",
"874810","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","315","Sheepshead Bay (CD15)","Summer 2023","06/01/2023","8.330674356",
"874520","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","104","Clinton and Chelsea (CD4)","Summer 2023","06/01/2023","9.655789883",
"878138","386","Ozone (O3)","Mean","ppb","CD","408","Hillcrest and Fresh Meadows (CD8)","Summer 2023","06/01/2023","36.68773905",
"877050","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","403","Flushing - Clearview","Summer 2023","06/01/2023","11.19843013",
"877236","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","407","Flushing and Whitestone (CD7)","Summer 2023","06/01/2023","11.33369132",
"877095","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","102","Greenwich Village and Soho (CD2)","Summer 2023","06/01/2023","20.14470643",
"878215","386","Ozone (O3)","Mean","ppb","UHF42","405","Ridgewood - Forest Hills","Summer 2023","06/01/2023","35.74608194",
"874392","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","206","Borough Park","Summer 2023","06/01/2023","8.616311108",
"874368","365","Fine particles (PM 2.5)","Mean","mcg/m3","Borough","3","Manhattan","Summer 2023","06/01/2023","9.34171697",
"878152","386","Ozone (O3)","Mean","ppb","CD","207","Kingsbridge Heights and Bedford (CD7)","Summer 2023","06/01/2023","32.06602493",
"877260","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","501","St. George and Stapleton (CD1)","Summer 2023","06/01/2023","12.81269171",
"876861","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","101","Kingsbridge - Riverdale","Summer 2023","06/01/2023","13.0538783",
"878244","386","Ozone (O3)","Mean","ppb","UHF42","104","Pelham - Throgs Neck","Summer 2023","06/01/2023","34.91689947",
"877155","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","210","Throgs Neck and Co-op City (CD10)","Summer 2023","06/01/2023","11.2618141",
"877014","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","206","Borough Park","Summer 2023","06/01/2023","11.74380759",
"878253","386","Ozone (O3)","Mean","ppb","CD","502","South Beach and Willowbrook (CD2)","Summer 2023","06/01/2023","35.2123549",
"878193","386","Ozone (O3)","Mean","ppb","UHF34","209","Bensonhurst - Bay Ridge","Summer 2023","06/01/2023","37.30085065",
"877134","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","203","Morrisania and Crotona (CD3)","Summer 2023","06/01/2023","13.76011232",
"874593","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","202","Hunts Point and Longwood (CD2)","Summer 2023","06/01/2023","9.725961313",
"877179","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","306","Park Slope and Carroll Gardens (CD6)","Summer 2023","06/01/2023","13.8400048",
"878237","386","Ozone (O3)","Mean","ppb","UHF42","204","East New York","Summer 2023","06/01/2023","36.31450852",
"877149","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","208","Riverdale and Fieldston (CD8)","Summer 2023","06/01/2023","12.9706097",
"877188","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","309","South Crown Heights and Lefferts Gardens (CD9)","Summer 2023","06/01/2023","11.38800028",
"874455","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","403","Flushing - Clearview","Summer 2023","06/01/2023","8.899225982",
"874529","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","101","Financial District (CD1)","Summer 2023","06/01/2023","9.239338959",
"878157","386","Ozone (O3)","Mean","ppb","CD","202","Hunts Point and Longwood (CD2)","Summer 2023","06/01/2023","33.48798478",
"878114","386","Ozone (O3)","Mean","ppb","CD","302","Fort Greene and Brooklyn Heights (CD2)","Summer 2023","06/01/2023","33.40842626",
"874819","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","318","Flatlands and Canarsie (CD18)","Summer 2023","06/01/2023","8.452351572",
"878150","386","Ozone (O3)","Mean","ppb","CD","209","Parkchester and Soundview (CD9)","Summer 2023","06/01/2023","33.96231918",
"878202","386","Ozone (O3)","Mean","ppb","UHF34","104","Pelham - Throgs Neck","Summer 2023","06/01/2023","34.91689947",
"874846","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","409","Kew Gardens and Woodhaven (CD9)","Summer 2023","06/01/2023","8.788488643",
"874329","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","204","East New York","Summer 2023","06/01/2023","8.878918851",
"878141","386","Ozone (O3)","Mean","ppb","CD","411","Bayside and Little Neck (CD11)","Summer 2023","06/01/2023","37.09750646",
"878188","386","Ozone (O3)","Mean","ppb","UHF34","303","East Harlem","Summer 2023","06/01/2023","32.00898429",
"874532","365","Fine particles (PM 2.5)","Mean","mcg/m3","Citywide","1","New York City","Summer 2023","06/01/2023","8.809497546",
"877023","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","209","Bensonhurst - Bay Ridge","Summer 2023","06/01/2023","12.10054339",
"877227","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","404","Elmhurst and Corona (CD4)","Summer 2023","06/01/2023","14.38556501",
"874804","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","313","Coney Island (CD13)","Summer 2023","06/01/2023","8.337358199",
"874858","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","413","Queens Village (CD13)","Summer 2023","06/01/2023","8.60642687",
"874535","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","105106107","South Bronx","Summer 2023","06/01/2023","9.409821191",
"874900","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","305","East New York and Starrett City (CD5)","Summer 2023","06/01/2023","8.832348602",
"874891","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","302","Fort Greene and Brooklyn Heights (CD2)","Summer 2023","06/01/2023","9.189253309",
"877137","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","204","Highbridge and Concourse (CD4)","Summer 2023","06/01/2023","14.04503059",
"874383","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","209","Bensonhurst - Bay Ridge","Summer 2023","06/01/2023","8.502404761",
"878183","386","Ozone (O3)","Mean","ppb","UHF34","405","Ridgewood - Forest Hills","Summer 2023","06/01/2023","35.74608194",
"878151","386","Ozone (O3)","Mean","ppb","CD","208","Riverdale and Fieldston (CD8)","Summer 2023","06/01/2023","29.62674459",
"878153","386","Ozone (O3)","Mean","ppb","CD","206","Belmont and East Tremont (CD6)","Summer 2023","06/01/2023","32.73465101",
"878201","386","Ozone (O3)","Mean","ppb","UHF34","201","Greenpoint","Summer 2023","06/01/2023","33.7542222",
"876972","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","410","Rockaways","Summer 2023","06/01/2023","6.471941886",
"878228","386","Ozone (O3)","Mean","ppb","UHF42","302","Central Harlem - Morningside Heights","Summer 2023","06/01/2023","31.47180591",
"876918","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","302","Central Harlem - Morningside Heights","Summer 2023","06/01/2023","13.24169233",
"878166","386","Ozone (O3)","Mean","ppb","CD","105","Midtown (CD5)","Summer 2023","06/01/2023","28.43469638",
"877002","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","202","Downtown - Heights - Slope","Summer 2023","06/01/2023","14.02065338",
"877035","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","302","Central Harlem - Morningside Heights","Summer 2023","06/01/2023","13.24164375",
"877218","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","401","Long Island City and Astoria (CD1)","Summer 2023","06/01/2023","14.86324093",
"874849","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","410","South Ozone Park and Howard Beach (CD10)","Summer 2023","06/01/2023","8.508712667",
"874410","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","104","Pelham - Throgs Neck","Summer 2023","06/01/2023","9.229392964",
"878224","386","Ozone (O3)","Mean","ppb","UHF42","306","Chelsea - Clinton","Summer 2023","06/01/2023","28.35317493",
"874485","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","303","East Harlem","Summer 2023","06/01/2023","9.187970378",
"877089","375","Nitrogen dioxide (NO2)","Mean","ppb","Citywide","1","New York City","Summer 2023","06/01/2023","11.86882363",
"874422","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","504","South Beach - Tottenville","Summer 2023","06/01/2023","8.221625406",
"874577","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","401","Long Island City - Astoria","Summer 2023","06/01/2023","9.441759835",
"876855","375","Nitrogen dioxide (NO2)","Mean","ppb","Borough","4","Queens","Summer 2023","06/01/2023","11.54967618",
"878170","386","Ozone (O3)","Mean","ppb","CD","101","Financial District (CD1)","Summer 2023","06/01/2023","29.71969051",
"878171","386","Ozone (O3)","Mean","ppb","Citywide","1","New York City","Summer 2023","06/01/2023","35.53951634",
"878199","386","Ozone (O3)","Mean","ppb","UHF34","203","Bedford Stuyvesant - Crown Heights","Summer 2023","06/01/2023","36.15812507",
"878238","386","Ozone (O3)","Mean","ppb","UHF42","203","Bedford Stuyvesant - Crown Heights","Summer 2023","06/01/2023","36.15812507",
"876963","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","407","Southwest Queens","Summer 2023","06/01/2023","11.94701212",
"874912","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","309","South Crown Heights and Lefferts Gardens (CD9)","Summer 2023","06/01/2023","8.65103668",
"877215","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","318","Flatlands and Canarsie (CD18)","Summer 2023","06/01/2023","12.15486597",
"878250","386","Ozone (O3)","Mean","ppb","Borough","3","Manhattan","Summer 2023","06/01/2023","30.17314447",
"878115","386","Ozone (O3)","Mean","ppb","CD","303","Bedford Stuyvesant (CD3)","Summer 2023","06/01/2023","35.69351113",
"877077","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","404406","Bayside Little Neck-Fresh Meadows","Summer 2023","06/01/2023","10.0595772",
"877053","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","405","Ridgewood - Forest Hills","Summer 2023","06/01/2023","12.71702853",
"878236","386","Ozone (O3)","Mean","ppb","UHF42","205","Sunset Park","Summer 2023","06/01/2023","34.50967942",
"877128","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","201","Mott Haven and Melrose (CD1)","Summer 2023","06/01/2023","14.89235269",
"876888","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","203","Bedford Stuyvesant - Crown Heights","Summer 2023","06/01/2023","12.30403871",
"877209","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","316","Brownsville (CD16)","Summer 2023","06/01/2023","13.2820744",
"874380","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","210","Coney Island - Sheepshead Bay","Summer 2023","06/01/2023","8.334285294",
"877056","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","407","Southwest Queens","Summer 2023","06/01/2023","11.94777145",
"876894","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","205","Sunset Park","Summer 2023","06/01/2023","14.78195865",
"878136","386","Ozone (O3)","Mean","ppb","CD","406","Rego Park and Forest Hills (CD6)","Summer 2023","06/01/2023","35.68088238",
"878210","386","Ozone (O3)","Mean","ppb","UHF42","410","Rockaways","Summer 2023","06/01/2023","43.33287409",
"877266","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","503","Tottenville and Great Kills (CD3)","Summer 2023","06/01/2023","7.724766395",
"876927","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","305","Upper East Side","Summer 2023","06/01/2023","15.94308836",
"876990","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","102","Northeast Bronx","Summer 2023","06/01/2023","11.62451231",
"874347","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","105","Crotona -Tremont","Summer 2023","06/01/2023","9.367923944",
"877158","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","211","Morris Park and Bronxdale (CD11)","Summer 2023","06/01/2023","11.49641693",
"876912","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","211","Williamsburg - Bushwick","Summer 2023","06/01/2023","12.91683936",
